country_name,year,region_name_harmonized,HD_size_dejure_mean,HL_IMR,HL_U5MR,ED_educ_years_mean,WL_wealth_mean,gdp_pc
Colombia,1990,Atlantica,5.39,19.51,28.85,6.29,44.45,6052.3837890625
Colombia,1990,Oriental,4.35,13.25,21.13,6.16,51.66,7941.595703125
Colombia,1990,Central,4.53,15.86,20.77,6.4,58.98,6371.734375
Colombia,1990,Pacifica,4.67,17.5,19.88,6.79,57.51,4821.916015625
Colombia,1990,Bogota,4.09,15.58,20.36,8.79,68.19,10587.28125
Pakistan,1991,Punjab + Islamabad,6.59,91.79,118.99,1.27,41.89,2815.19262695312
Pakistan,1991,Sindh,6.68,90.41,119.01,1.29,45.51,3958.37084960938
Pakistan,1991,Khyber Pakhtunkhwa (NWFP),7.3,56.81,73.55,0.45,37.86,2683.48193359375
Pakistan,1991,Balochistan,7.76,68.94,96.06,0.21,30.56,3856.79296875
Colombia,1991,Atlantica,5.348,22.788,31.862,6.41,44.292,6039.47353515625
Colombia,1991,Oriental,4.356,14.794,21.894,6.282,51.36,8054.9537109375
Colombia,1991,Central,4.474,18.002,23.438,6.536,57.792,6439.82373046875
Colombia,1991,Pacifica,4.62,19.828,23.868,6.82,55.954,4805.23134765625
Colombia,1991,Bogota,4.044,17.42,22.456,8.856,67.152,11034.0072265625
Egypt,1992,Urban Governorates,4.8,44.45,54.05,4.68,89.17,6590.98974609375
Egypt,1992,Lower Egypt,5.88,52.06,70.67,2.59,71.82,6051.078125
Egypt,1992,Upper Egypt,6.02,77.82,112.38,2.26,59.82,5475.15087890625
Morocco,1992,Sud (Souss-Massa-Draa + Guelmim-Es-smara + Laayoune-Boujdou-sakia Al Hamra),5.78,60.06,98.27,1.12,44.66,3816.04907226562
Morocco,1992,Tensift and Centre (Marrakech-Tensift-Al Haouz + Doukkala-Abda + Tadla-Azilal + Chaouia-Ouardigha + Grand-Casablanca),6.07,49.17,62.07,2.94,46.16,3949.69702148438
Morocco,1992,Centre-Nord (Fes-Boulemane + Taza-Al Hoceima-Taounate),6.26,70.91,95.8,2.04,38.34,2731.25537109375
Morocco,1992,Oriental,6.42,59.46,67.32,2.31,57.99,3527.26049804688
Morocco,1992,Meknes-Tafilalet,5.72,42.92,62.4,3.07,50.14,3218.19897460938
Madagascar,1992,Mahajanga (Sofia + Boeny + Melaky + Betsiboka ),4.75,104.61,171.37,2.68,6.92,1482.20874023438
Madagascar,1992,Toliara (Anosy + Androy + Atsimo Andrefana + Menabe),4.88,112.25,160.04,2.95,9.16,1482.20874023438
Malawi,1992,Northern,4.69,117.69,196.96,4.69,12.41,751.817626953125
Malawi,1992,Southern,4.34,139.65,220.37,2.26,11.85,712.866271972656
Niger,1992,Niamey,6.56,63.1,161.67,3.02,38.81,813.320495605469
Zambia,1992,Central,5.31,97.16,152.74,4.94,18.4,2156.30859375
Zambia,1992,Copperbelt,6.5,85.6,163.71,6.47,46.87,2149.798828125
Zambia,1992,Lusaka,5.69,86.32,162.99,6.43,38.17,2156.97338867188
Zambia,1992,Northwestern,4.04,113.62,182.83,4.24,9.88,2159.82446289062
Zambia,1992,Southern,6.66,76.31,148.56,5.24,18.36,2166.9912109375
Colombia,1992,Atlantica,5.306,26.066,34.874,6.53,44.134,6026.56328125
Colombia,1992,Oriental,4.362,16.338,22.658,6.404,51.06,8168.31171875
Colombia,1992,Central,4.418,20.144,26.106,6.672,56.604,6507.9130859375
Colombia,1992,Pacifica,4.57,22.156,27.856,6.85,54.398,4788.5466796875
Colombia,1992,Bogota,3.998,19.26,24.552,8.922,66.114,11480.733203125
Pakistan,1992,Punjab + Islamabad,6.604,91.0626666666667,117.491333333333,1.31866666666667,42.508,2900.34588216146
Pakistan,1992,Sindh,6.73266666666667,89.794,117.942,1.32933333333333,45.73,4023.33330078125
Pakistan,1992,Khyber Pakhtunkhwa (NWFP),7.33733333333333,57.4586666666667,73.8166666666667,0.488666666666667,38.23,2742.29464518229
Pakistan,1992,Balochistan,7.79133333333333,67.8806666666667,94.2846666666667,0.25,31.3906666666667,3830.92262369792
Ghana,1993,Western,3.49,87.33,144.18,5.67,21.45,2037.65490722656
Ghana,1993,Central,3.45,69.3,120.82,5.75,21.17,2024.22631835938
Ghana,1993,Greater Accra,3.48,62.35,107.32,8.03,48.59,2024.22631835938
Ghana,1993,Volta,4.61,47.43,73.21,5.5,17.35,2003.4951171875
Ghana,1993,Eastern,3.44,56.24,95.94,6.49,22.08,2024.22631835938
Ghana,1993,Ashanti,3.22,52.52,85.15,5.84,25.9,2024.22631835938
Ghana,1993,Brong Ahafo,3.67,49.84,92.74,5.69,20.21,2029.21166992188
Ghana,1993,Northern,4.91,103.36,204.72,1.36,20.71,2021.01843261719
Ghana,1993,Upper East,4.72,62.89,143.19,2.29,23.62,2008.82983398438
Ghana,1993,Upper West,4.69,95.78,167.38,1.72,19.13,1988.33276367188
India,1993,Andhra Pradesh,5.03,70.02,90.89,1.91,32.81,1948.78283691406
India,1993,Assam,5.68,88.32,141.83,2.21,26.86,1582.60961914062
India,1993,Bihar + Jharkhand,6.24,89.23,127.63,1.41,25.95,988.492065429688
India,1993,Goa,5.07,31.9,38.86,5.13,48.1,4043.97338867188
India,1993,Gujarat,5.37,68.73,103.98,3.2,43.12,2523.1796875
India,1993,Haryana,6.14,73.33,98.74,2.45,41.27,2759.54711914062
India,1993,Himachal Pradesh,5.31,55.84,69.15,3.27,35.45,1906.01208496094
India,1993,Karnataka,5.69,64.85,86.94,2.54,36.03,2004.86743164062
India,1993,Kerala,5.1,23.78,31.96,6.19,41.04,1852.88684082031
India,1993,Madhya Pradesh + Chhattisgarh,5.84,85.36,130.61,1.56,33.53,1558.67199707031
India,1993,Maharashtra,5.46,50.53,70.55,3.24,42.58,3132.201171875
India,1993,Manipur,6.01,42.35,61.66,4.14,30.64,1646.57983398438
India,1993,Meghalaya,5.98,64.15,86.91,2.82,30.68,1678.66650390625
India,1993,Mizoram,5.62,14.61,29.33,5.21,33.37,1576.64489746094
India,1993,Nagaland,5.57,17.19,20.69,3.74,39.71,2052.68212890625
India,1993,Orissa,5.31,112.15,131.03,1.82,25.29,1293.55346679688
India,1993,Punjab,5.62,53.74,67.97,3.51,47.42,3469.24877929688
India,1993,Rajasthan,6.09,72.63,102.59,1.1,32.52,1502.69104003906
India,1993,Tamil Nadu,4.58,68.2,86.91,3.6,36.11,2189.25732421875
India,1993,West Bengal,5.42,75.39,99.47,2.6,33.65,1670.66711425781
India,1993,Uttar Pradesh + Uttaranchal,6.26,99.88,141.44,1.68,31.11,1380.27807617188
India,1993,New Delhi,5.1,65.4,83.11,5.77,65.81,4017.2255859375
India,1993,Arunachal Pradesh,5.66,39.99,71.98,1.87,34.31,2296.4423828125
India,1993,Tripura,5.47,75.83,104.63,3.35,32.16,1269.98986816406
Kenya,1993,Nairobi,2.88,48.62,87.93,8.23,47.2,9567.0751953125
Kenya,1993,Central,4.19,34.76,47.34,7.02,20.11,1811.87170410156
Kenya,1993,Coast,5.2,63.16,105.79,4.55,22.53,3032.23559570312
Kenya,1993,Eastern,5.52,49.41,70.12,5.82,15.01,1129.84436035156
Kenya,1993,Nyanza,4.67,136.05,198.39,5.52,11.11,953.214050292969
Kenya,1993,Rift Valley,4.9,34.06,55.24,5.63,16.86,1122.21618652344
Kenya,1993,Western,5.5,60.49,112.61,6.21,16.41,955.341186523438
Colombia,1993,Atlantica,5.264,29.344,37.886,6.65,43.976,6013.65302734375
Colombia,1993,Oriental,4.368,17.882,23.422,6.526,50.76,8281.6697265625
Colombia,1993,Central,4.362,22.286,28.774,6.808,55.416,6576.00244140625
Colombia,1993,Pacifica,4.52,24.484,31.844,6.88,52.842,4771.86201171875
Colombia,1993,Bogota,3.952,21.1,26.648,8.988,65.076,11927.4591796875
Egypt,1993,Urban Governorates,4.69,39.85,49.0233333333333,4.75,88.9466666666667,7417.37109375
Egypt,1993,Lower Egypt,5.7,50.9033333333333,67.57,2.84333333333333,72.33,5976.81819661458
Egypt,1993,Upper Egypt,5.99333333333333,81.25,113.263333333333,2.36666666666667,60.65,5599.91162109375
Morocco,1993,Sud (Souss-Massa-Draa + Guelmim-Es-smara + Laayoune-Boujdou-sakia Al Hamra),5.74727272727273,58.1527272727273,93.5281818181818,1.28181818181818,46.3381818181818,3987.70516690341
Morocco,1993,Tensift and Centre (Marrakech-Tensift-Al Haouz + Doukkala-Abda + Tadla-Azilal + Chaouia-Ouardigha + Grand-Casablanca),5.99636363636364,47.9309090909091,60.4190909090909,3.05272727272727,47.7045454545455,4028.00936612216
Morocco,1993,Centre-Nord (Fes-Boulemane + Taza-Al Hoceima-Taounate),6.21,67.9927272727273,91.2609090909091,2.15727272727273,40.1527272727273,2774.08842329545
Morocco,1993,Oriental,6.31909090909091,58.0018181818182,65.3418181818182,2.42909090909091,58.9381818181818,3718.37571022727
Morocco,1993,Meknes-Tafilalet,5.68454545454545,44.3509090909091,62.8945454545455,3.13454545454545,51.1872727272727,3248.16728071733
Madagascar,1993,Mahajanga (Sofia + Boeny + Melaky + Betsiboka ),4.792,107.362,172.358,2.75,7.952,1464.63784179687
Madagascar,1993,Toliara (Anosy + Androy + Atsimo Andrefana + Menabe),4.828,109.684,158.01,2.836,9.698,1464.63784179687
Malawi,1993,Northern,4.69,115.72125,191.8625,4.82375,13.0875,770.393058776855
Malawi,1993,Central,4.55,128.91375,249.5475,2.63125,11.19,751.867408752441
Malawi,1993,Southern,4.32125,136.19625,217.3975,2.45125,12.68,731.423240661621
Niger,1993,Niamey,6.485,63.2883333333333,158.451666666667,3.19666666666667,38.6083333333333,817.117258707682
Pakistan,1993,Punjab + Islamabad,6.618,90.3353333333333,115.992666666667,1.36733333333333,43.126,2985.49913736979
Pakistan,1993,Sindh,6.78533333333333,89.178,116.874,1.36866666666667,45.95,4088.29575195313
Pakistan,1993,Khyber Pakhtunkhwa (NWFP),7.37466666666667,58.1073333333333,74.0833333333333,0.527333333333333,38.6,2801.10735677083
Pakistan,1993,Balochistan,7.82266666666667,66.8213333333333,92.5093333333333,0.29,32.2213333333333,3805.05227864583
Zambia,1993,Central,5.2675,98.5775,158.115,5.2925,18.8525,2135.92169189453
Zambia,1993,Copperbelt,6.415,86.9425,170.8,6.6075,46.5925,2129.15777587891
Zambia,1993,Eastern + Northern + Muchinga,5.0625,131.6975,242.785,3.6675,9.5675,2129.93414306641
Zambia,1993,Lusaka,5.6325,94.9625,172.3925,6.64,39.3325,2138.19519042969
Zambia,1993,Northwestern,4.0925,108.875,177.0025,4.37,11.0475,2139.02862548828
Zambia,1993,Southern,6.5525,77.8075,156.395,5.3625,18.425,2147.45922851562
Zambia,1993,Western,4.7775,141.9725,230.1175,4.29,7.9825,2150.07458496094
Bangladesh,1994,Barisal,5.44,94.48,137.44,2.72,18.93,1321.1259765625
Bangladesh,1994,Khulna,5.52,80.65,101.85,2.1,24.38,1434.54418945312
Bangladesh,1994,Rajashahi + Rangpur,5.02,79.83,111.76,1.53,22.99,1201.34509277344
Cote d'Ivoire,1994,Center,7.07,85.79,132.77,2.19,32.05,2819.43212890625
Cote d'Ivoire,1994,Center North,5.69,79.37,129.4,2.23,29.78,2819.43212890625
Cote d'Ivoire,1994,North East,7.58,78.66,132.01,1.68,26.46,2795.97265625
Cote d'Ivoire,1994,South + Abidjan,5.77,71.21,123.41,3.3,40.42,2815.34741210938
Cote d'Ivoire,1994,South West,5.3,93.16,144.41,1.43,19.28,2807.40698242188
Cote d'Ivoire,1994,Center West,6.99,98.14,171.01,1.89,21.7,2819.43212890625
Cote d'Ivoire,1994,North West,6.63,82.46,178.96,1.2,27.53,2799.11962890625
Indonesia,1994,DKI Jakarta,5.04,26.26,36.78,4.57,65.41,11206.3671875
Indonesia,1994,West Java + Banten,4.27,78.65,108.38,4.03,45.62,4559.11181640625
Indonesia,1994,Central Java,4.32,32.99,54.82,3.62,39.2,4062.0556640625
Indonesia,1994,DI Yogyakarta,3.86,25.54,31.2,4.28,45.06,3589.572265625
Indonesia,1994,East Java,4.05,47.72,59.36,3.47,41.33,4810.94677734375
Indonesia,1994,Bali,4.35,49.11,53.22,3.34,51.14,5703.52099609375
Indonesia,1994,Aceh,5.14,45.8,62.88,3.8,39.74,12702.8828125
Indonesia,1994,North Sumatra,5.09,49.42,89.6,4.2,45.18,5720.75390625
Indonesia,1994,West Sumatra,4.55,73.19,97.61,4.45,42.63,4376.35498046875
Indonesia,1994,South Sumatra + Bangka Belitung,4.8,51.58,85.38,3.83,42.82,6540.85302734375
Indonesia,1994,Lampung,4.62,38.99,60.74,3.85,31.74,3010.6884765625
Indonesia,1994,West Nusa Tenggara,4.4,107.99,142.37,3.01,35.17,2086.212890625
Indonesia,1994,West Kalimantan,4.94,91.72,128.61,2.92,42.53,4478.82421875
Indonesia,1994,South Kalimantan,4.19,70.99,85.03,4.1,47.94,5042.3154296875
Indonesia,1994,North Sulawesi + Gorontalo,4.23,59.93,85.84,5.3,41.28,3882.08178710938
Indonesia,1994,Bengkulu,4.84,85.93,123.43,4.19,38.18,3334.69262695312
Indonesia,1994,South + West Sulawesi,5.0,60.28,81.44,3.22,40.85,3811.67553710938
Indonesia,1994,Jambi,4.71,56.49,82.21,3.81,39.67,4010.00659179688
Indonesia,1994,East Nusa Tenggara,5.34,66.89,96.9,2.94,25.68,2018.9638671875
Indonesia,1994,East Timor,5.67,39.03,89.12,1.91,26.85,1172.50708007812
Indonesia,1994,Central Kalimantan,4.66,15.81,39.01,4.18,40.66,4934.037109375
Indonesia,1994,Central Sulawesi,4.89,84.01,120.88,4.56,36.28,2997.9267578125
Indonesia,1994,Southeast Sulawesi,4.56,67.28,90.5,4.19,36.1,3262.96948242188
Indonesia,1994,Maluku + North Maluku,5.47,66.13,89.14,4.13,39.0,4164.65625
Indonesia,1994,Papua + West Papua,4.8,68.3,97.6,2.79,34.32,8007.37109375
Zimbabwe,1994,Manicaland,4.72,67.44,93.9,6.12,23.96,2384.60400390625
Zimbabwe,1994,Mashonaland Central,4.72,55.42,81.96,5.19,21.83,2427.40283203125
Zimbabwe,1994,Mashonaland East,4.85,51.52,76.28,6.6,26.0,2433.90014648438
Zimbabwe,1994,Mashonaland West,4.89,89.85,118.55,5.73,28.11,2444.08374023438
Zimbabwe,1994,Matabeleland North,5.88,47.35,73.97,5.69,22.65,2472.90258789062
Zimbabwe,1994,Matabeleland South,5.35,62.11,87.13,6.57,25.16,2539.23364257812
Zimbabwe,1994,Midlands,4.79,48.81,82.01,6.89,30.46,2445.90234375
Zimbabwe,1994,Masvingo,5.09,52.35,70.22,5.82,24.54,2430.37329101562
Zimbabwe,1994,Harare/Chitungwiza,3.73,19.29,37.86,8.94,63.05,2445.90258789062
Zimbabwe,1994,Bulawayo,3.9,26.83,30.24,8.42,66.72,2445.90258789062
Colombia,1994,Atlantica,5.222,32.622,40.898,6.77,43.818,6000.7427734375
Colombia,1994,Oriental,4.374,19.426,24.186,6.648,50.46,8395.027734375
Colombia,1994,Central,4.306,24.428,31.442,6.944,54.228,6644.091796875
Colombia,1994,Pacifica,4.47,26.812,35.832,6.91,51.286,4755.17734375
Colombia,1994,Bogota,3.906,22.94,28.744,9.054,64.038,12374.18515625
Egypt,1994,Urban Governorates,4.58,35.25,43.9966666666667,4.82,88.7233333333333,8243.75244140625
Egypt,1994,Lower Egypt,5.52,49.7466666666667,64.47,3.09666666666667,72.84,5902.55826822917
Egypt,1994,Upper Egypt,5.96666666666667,84.68,114.146666666667,2.47333333333333,61.48,5724.67236328125
Ghana,1994,Western,3.576,82.49,137.334,5.682,22.282,2072.8978515625
Ghana,1994,Central,3.486,71.928,125.92,5.782,22.602,2059.23203125
Ghana,1994,Greater Accra,3.502,57.742,97.55,8.12,49.068,2059.23203125
Ghana,1994,Volta,4.526,43.852,72.82,5.624,17.932,2039.1599609375
Ghana,1994,Eastern,3.4,55.2,95.768,6.568,23.336,2059.23203125
Ghana,1994,Ashanti,3.184,49.416,82.35,5.99,26.78,2059.23203125
Ghana,1994,Brong Ahafo,3.57,53.898,99.682,5.568,20.856,2064.30541992188
Ghana,1994,Northern,4.75,97.81,199.14,1.348,20.758,2056.1591796875
Ghana,1994,Upper East,4.698,66.188,144.22,2.276,23.054,2043.78369140625
Ghana,1994,Upper West,4.75,91.8,166.082,1.77,19.396,2023.69775390625
India,1994,Andhra Pradesh,4.985,69.3233333333333,89.99,2.00333333333333,33.1866666666667,2050.09104410807
India,1994,Assam,5.715,85.1916666666667,133.101666666667,2.26666666666667,26.83,1650.13751220703
India,1994,Bihar + Jharkhand,6.215,86.5116666666667,123.871666666667,1.44166666666667,25.8066666666667,1018.74263509115
India,1994,Goa,4.99166666666667,32.7016666666667,40.1866666666667,4.94,48.95,4382.58321126302
India,1994,Gujarat,5.31833333333333,67.7083333333333,100.83,3.245,43.6683333333333,2644.19567871094
India,1994,Haryana,6.04333333333333,70.57,95.0766666666667,2.57,42.14,2892.68420410156
India,1994,Himachal Pradesh,5.235,52.2666666666667,64.6983333333333,3.34166666666667,36.7883333333333,2159.15757242839
India,1994,Karnataka,5.62166666666667,62.6183333333333,84.0833333333333,2.64333333333333,36.6516666666667,2127.24011230469
India,1994,Kerala,5.1,22.5366666666667,29.7733333333333,6.13333333333333,39.85,2072.63905843099
India,1994,Madhya Pradesh + Chhattisgarh,5.8,85.4766666666667,131.781666666667,1.66166666666667,33.6216666666667,1630.8808186849
India,1994,Maharashtra,5.405,49.395,68.4666666666667,3.32833333333333,42.8366666666667,3233.69026692708
India,1994,Manipur,5.92333333333333,41.4583333333333,60.7383333333333,3.97833333333333,31.3116666666667,1726.6190999349
