parl25,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.BTW,Belfast West,72.52446064,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.040158283,0.959841717,1,1
UKPARL.2025.FOY,Foyle,63.65991058,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.209117743,0.790882257,1,1
UKPARL.2025.BTN,Belfast North,60.52236032,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.241462958,0.758537042,1,1
UKPARL.2025.WTY,West Tyrone,53.56612026,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.058584422,0.941415578,1,1
UKPARL.2025.NAR,Newry and Armagh,50.73512991,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.180236735,0.819763265,1,1
UKPARL.2025.BPS,Blackpool South,50.4804929,1st IMD quintile,Constituencies in most deprived quintile (20%),0.025445884,0.310774727,0.663779388,1,1
UKPARL.2025.LRV,Liverpool Riverside,49.29088149,1st IMD quintile,Constituencies in most deprived quintile (20%),0.061322502,0.262675904,0.676001594,1,1
UKPARL.2025.BLA,Birmingham Ladywood,48.61403681,1st IMD quintile,Constituencies in most deprived quintile (20%),0.019301756,0.163278093,0.817420151,1,1
UKPARL.2025.KNW,Knowsley,47.98310506,1st IMD quintile,Constituencies in most deprived quintile (20%),0.048299223,0.228936683,0.722764095,1,1
UKPARL.2025.ELD,East Londonderry,47.38041885,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.209060182,0.790939818,1,1
UKPARL.2025.LWL,Liverpool Walton,47.35001208,1st IMD quintile,Constituencies in most deprived quintile (20%),0.065954039,0.170733682,0.763312278,1,1
UKPARL.2025.BSN,Birmingham Hodge Hill and Solihull North,45.56298936,1st IMD quintile,Constituencies in most deprived quintile (20%),0.060624864,0.164255128,0.775120009,1,1
UKPARL.2025.LWD,Liverpool West Derby,45.32043212,1st IMD quintile,Constituencies in most deprived quintile (20%),0.026050111,0.332507369,0.64144252,1,1
UKPARL.2025.FST,Fermanagh and South Tyrone,45.12983849,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.163668605,0.836331395,1,1
UKPARL.2025.SDW,South Down,44.98719261,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.18427898,0.81572102,1,1
UKPARL.2025.BDE,Bradford East,44.63252376,1st IMD quintile,Constituencies in most deprived quintile (20%),0.046988488,0.241485675,0.711525838,1,1
UKPARL.2025.MTE,Middlesbrough and Thornaby East,44.55629192,1st IMD quintile,Constituencies in most deprived quintile (20%),0.153662104,0.228654284,0.617683612,1,1
UKPARL.2025.LSO,Leeds South,44.08836101,1st IMD quintile,Constituencies in most deprived quintile (20%),0.065196774,0.279270614,0.655532612,1,1
UKPARL.2025.BMS,Blackley and Middleton South,43.64089776,1st IMD quintile,Constituencies in most deprived quintile (20%),0.059257395,0.268337339,0.672405265,1,1
UKPARL.2025.UBN,Upper Bann,43.22936789,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.39070604,0.60929396,1,1
UKPARL.2025.SBH,Sheffield Brightside and Hillsborough,42.57759839,1st IMD quintile,Constituencies in most deprived quintile (20%),0.070253888,0.227089761,0.70265635,1,1
UKPARL.2025.BER,Birmingham Erdington,42.36958603,1st IMD quintile,Constituencies in most deprived quintile (20%),0.009147143,0.34892181,0.641931047,1,1
UKPARL.2025.BDW,Bradford West,42.20331414,1st IMD quintile,Constituencies in most deprived quintile (20%),0.024250387,0.366020425,0.609729188,1,1
UKPARL.2025.BPB,Birmingham Perry Barr,42.13629881,1st IMD quintile,Constituencies in most deprived quintile (20%),0.012040491,0.291585003,0.696374506,1,1
UKPARL.2025.BTL,Bootle,41.75899189,1st IMD quintile,Constituencies in most deprived quintile (20%),0.106765115,0.273577216,0.619657669,1,1
UKPARL.2025.BYA,Birmingham Yardley,41.40197977,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.249146551,0.750853449,1,1
UKPARL.2025.MUL,Mid Ulster,41.05334482,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.241405613,0.758594387,1,1
UKPARL.2025.GNE,Glasgow North East,40.6385665,1st IMD quintile,Constituencies in most deprived quintile (20%),0.1242594,0.319454983,0.556285617,1,1
UKPARL.2025.MCT,Manchester Central,40.53719143,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04159846,0.430190323,0.528211217,1,1
UKPARL.2025.BLS,Bolton South and Walkden,40.49543537,1st IMD quintile,Constituencies in most deprived quintile (20%),0.072972264,0.241670009,0.685357727,1,1
UKPARL.2025.NAN,North Antrim,40.44026662,1st IMD quintile,Constituencies in most deprived quintile (20%),0,0.438089644,0.561910356,1,1
UKPARL.2025.WAB,Walsall and Bloxwich,40.11853207,1st IMD quintile,Constituencies in most deprived quintile (20%),0.123972999,0.180142719,0.695884282,1,1
UKPARL.2025.HUE,Kingston upon Hull East,39.93822777,1st IMD quintile,Constituencies in most deprived quintile (20%),0.15651961,0.298892363,0.544588027,1,1
