constituency-name,parl25-deprivation-score,label,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
Blackpool South,50.4804929,1st IMD quintile,0.025445884,0.310774727,0.663779388,1,1
Liverpool Riverside,49.29088149,1st IMD quintile,0.061322502,0.262675904,0.676001594,1,1
Knowsley,47.98310506,1st IMD quintile,0.048299223,0.228936683,0.722764095,1,1
East Londonderry,47.38041885,1st IMD quintile,0.0,0.209060182,0.790939818,1,1
Liverpool Walton,47.35001208,1st IMD quintile,0.065954039,0.170733682,0.763312278,1,1
Birmingham Hodge Hill and Solihull North,45.56298936,1st IMD quintile,0.060624864,0.164255128,0.775120009,1,1
Liverpool West Derby,45.32043212,1st IMD quintile,0.026050111,0.332507369,0.64144252,1,1
Bradford East,44.63252376,1st IMD quintile,0.046988488,0.241485675,0.711525838,1,1
Middlesbrough and Thornaby East,44.55629192,1st IMD quintile,0.153662104,0.228654284,0.617683612,1,1
Leeds South,44.08836101,1st IMD quintile,0.065196774,0.279270614,0.655532612,1,1
Blackley and Middleton South,43.64089776,1st IMD quintile,0.059257395,0.268337339,0.672405265,1,1
Upper Bann,43.22936789,1st IMD quintile,0.0,0.39070604,0.60929396,1,1
Sheffield Brightside and Hillsborough,42.57759839,1st IMD quintile,0.070253888,0.227089761,0.70265635,1,1
Birmingham Erdington,42.36958603,1st IMD quintile,0.009147143,0.34892181,0.641931047,1,1
Bradford West,42.20331414,1st IMD quintile,0.024250387,0.366020425,0.609729188,1,1
Birmingham Perry Barr,42.13629881,1st IMD quintile,0.012040491,0.291585003,0.696374506,1,1
Bootle,41.75899189,1st IMD quintile,0.106765115,0.273577216,0.619657669,1,1
Birmingham Yardley,41.40197977,1st IMD quintile,0.0,0.249146551,0.750853449,1,1
Mid Ulster,41.05334482,1st IMD quintile,0.0,0.241405613,0.758594387,1,1
Glasgow North East,40.6385665,1st IMD quintile,0.1242594,0.319454983,0.556285617,1,1
Manchester Central,40.53719143,1st IMD quintile,0.04159846,0.430190323,0.528211217,1,1
Bolton South and Walkden,40.49543537,1st IMD quintile,0.072972264,0.241670009,0.685357727,1,1
North Antrim,40.44026662,1st IMD quintile,0.0,0.438089644,0.561910356,1,1
Walsall and Bloxwich,40.11853207,1st IMD quintile,0.123972999,0.180142719,0.695884282,1,1
Kingston upon Hull East,39.93822777,1st IMD quintile,0.15651961,0.298892363,0.544588027,1,1
Bradford South,39.7251447,1st IMD quintile,0.034689444,0.377621831,0.587688725,1,1
Birkenhead,39.60642587,1st IMD quintile,0.163896206,0.338761049,0.497342745,1,1
Gorton and Denton,39.60270925,1st IMD quintile,0.064201246,0.231474354,0.7043244,1,1
Strangford,39.52281884,1st IMD quintile,0.0,0.411685163,0.588314837,1,1
Birmingham Northfield,39.12389119,1st IMD quintile,0.052626975,0.382980212,0.564392813,1,1
Wolverhampton South East,38.82494819,1st IMD quintile,0.024089084,0.223460392,0.752450525,1,1
Blackburn,38.67317914,1st IMD quintile,0.143604749,0.276336377,0.580058874,1,1
Rochdale,38.63208953,1st IMD quintile,0.145356864,0.288290488,0.566352647,1,1
Great Grimsby and Cleethorpes,38.60899572,1st IMD quintile,0.187526509,0.310646055,0.501827436,1,1
Birmingham Hall Green and Moseley,38.45465728,1st IMD quintile,0.036946165,0.368573557,0.594480278,1,1
Burnley,38.24548917,1st IMD quintile,0.138770634,0.315770511,0.545458855,1,1
Belfast East,38.09263647,1st IMD quintile,0.019135207,0.531683469,0.449181324,1,1
Manchester Rusholme,37.45673526,1st IMD quintile,0.0,0.521468127,0.478531873,1,1
Salford,37.3791412,1st IMD quintile,0.102787724,0.355533822,0.541678454,1,1
Stoke-on-Trent Central,37.33224332,1st IMD quintile,0.070733214,0.359226543,0.570040242,1,1
Nottingham North and Kimberley,37.26883799,1st IMD quintile,0.117845624,0.299606769,0.582547607,1,1
"Oldham West, Chadderton and Royton",37.24852979,1st IMD quintile,0.110300088,0.302731372,0.58696854,1,1
Tipton and Wednesbury,37.15099512,1st IMD quintile,0.044302776,0.353938025,0.601759199,1,1
Leeds East,37.0844016,1st IMD quintile,0.252946808,0.213875426,0.533177766,1,1
Easington,35.94000266,1st IMD quintile,0.082851618,0.391637485,0.525510897,1,1
East Antrim,35.90390921,1st IMD quintile,0.023228164,0.58092642,0.395845416,1,1
Glasgow East,35.54586076,1st IMD quintile,0.189397305,0.331774113,0.478828582,1,1
